"GEONAME_H";"CAT";"C_ROZH";"ROK_ST";"D_ROZH";"GN_ID"
"Dobrohoöù-KraËany";"Kan·l, n·hon";"P-108/1978";1992;"30.03.1978";{060C1D84-FB1F-4743-AAEA-6564BC831AAB}
"Dobrohoöù-KraËany";"Kan·l, n·hon";"P-108/1978";1992;"30.03.1978";{CDA7111F-F88E-4706-9EB8-0203209CDD9A}
"Dobrohoöù-KraËany";"Kan·l, n·hon";"P-108/1978";1992;"30.03.1978";{8650CE30-4978-45F5-9B27-9B65C3730B12}
"Dobrohoöù-KraËany";"Kan·l, n·hon";"P-108/1978";1992;"30.03.1978";{AC518623-4D4A-4B57-90F9-C00D536ADCBF}
"Dobrohoöù-KraËany";"Kan·l, n·hon";"P-108/1978";1992;"30.03.1978";{223F0C77-4F5F-4528-A564-5229325679B9}
"Janov hon";"Pole";"P-108/1978";1992;"30.03.1978";{9752CED3-5B44-4971-B91F-3C9C5FAED1B8}
"RybnÌk";"RybnÌk, rybnÌky";"P-244/1986";2007;"29.07.1986";{303B77C3-D6A9-433E-8432-2F6647BFD4AD}
"Olöava";"Vodn˝ tok";"P-378/1975";1992;"19.11.1975";{23F47A21-8D6B-4693-9F67-58E4DACBDBF9}
"Olöava";"Vodn˝ tok";"P-378/1975";1992;"19.11.1975";{DA088CD7-7499-4190-9425-A7AFC3528511}
"Bozokh·zyho dolina";"Dolina";"P-164/1976";1992;"23.06.1976";{D816609C-8A68-484E-A825-0C172BA32821}
"StoliËn˝ potok";"Vodn˝ tok";"P-108/1978";2007;"30.03.1978";{6E25CD5A-C47C-4B8E-B847-C8D73F78E4EC}
"äebkov·";"Vrch";"P-365/1990";2007;"28.08.1990";{A9774755-58D8-46F8-A9F7-C7EF7F630EEC}
"Jaseniansky potok";"Vodn˝ tok";"P-164/1976";2002;"23.06.1976";{501B587E-D2A7-47B3-98C2-7F1CC374E29F}
"Olöavec";"Vodn˝ tok";"P-378/1975";1992;"19.11.1975";{00909C82-1F88-4D2E-A0E0-13B59380DD6E}
"Kæakalov·";"Les";"GK-1423/1993";2007;"28.07.1993";{E25371D3-6051-49CF-83A9-CFC89525864E}
"z·chytn˝ kan·l Okny";"Kan·l, n·hon";"P-379/1975";1990;"19.11.1975";{8F9F3A67-DBA5-49D0-945E-F31AD903F05A}
"Pod koöiarmi";"Les";"P-378/1975";1992;"19.11.1975";{B585D031-6168-493D-99AF-5CD7DF00E04F}
"VËelÌnec";"Les";"P-387/1992";2007;"23.09.1992";{0EE3CB8C-AA4F-490C-8355-7D6A842236F6}
"éiarnovica";"Vodn˝ tok";"P-378/1975";1990;"19.11.1975";{3B696531-8213-40B1-89DC-5955ECAD8869}
"Kriölovsk·";"Les";"GK-1115/1993";2007;"09.06.1993";{292733CC-F4E8-44B7-B5E8-81D9E7A66F2A}
"Olöava";"Vodn˝ tok";"P-378/1975";1990;"19.11.1975";{10180EBA-0703-48D3-841A-A31B9698CC28}
"Milinovsk˝ kan·l";"Kan·l, n·hon";"P-108/1978";1992;"30.03.1978";{56FD38EA-D280-4A64-9BED-8037D0A87085}
"Sosnica";"Les";"P-378/1975";1993;"19.11.1975";{0D5A39FA-857A-487C-A0CC-FAFCBB23F2EF}
"Olöavka";"Vodn˝ tok";"P-378/1975";1990;"19.11.1975";{FB59AE8F-D5CA-4270-B36C-85EED630BBD9}
"Habrovec";"Vrch";"GK-1031/1993";2007;"01.06.1993";{371A3A6B-7B8E-A998-E053-3DC4A8C0B402}
"Straöina";"HrebeÚ, chrb·t";"P-378/1975";1990;"19.11.1975";{8596C4AD-8547-45C1-9F91-BF6D3DC714F9}
"Chot·rny potok";"Vodn˝ tok";"P-378/1975";1990;"19.11.1975";{2BF2D83E-1E1F-4987-AD01-55598642BDC1}
"HavranÌ vrch";"Vrch";"P-378/1975";1992;"19.11.1975";{371A3A6B-7A75-A998-E053-3DC4A8C0B402}
"Dubie";"Dolina";"P-378/1975";1987;"19.11.1975";{C81F7152-C571-4E6A-8170-92108813CD94}
"Nivky pri sv. Anne";"Pole";"P-4/1989";2013;"11.01.1989";{3A424851-CF3A-4F5B-9ED9-3A1D8DB4EB4F}
"DrieÚok";"Vrch";"P-255/1992";2010;"16.06.1992";{2CA6DD3C-949A-48B3-B91B-9780DA730629}
"Malolev·rsky kan·l";"Kan·l, n·hon";"P-108/1978";2005;"30.03.1978";{8591F2A8-BD4C-4959-B103-782E726BF264}
"Vyön· str·Ú";"Vinica";"P-378/1975";1990;"19.11.1975";{AE00D718-490A-4673-B971-8ABC88D4D1B5}
"Olöavec";"Vodn˝ tok";"P-378/1975";1992;"19.11.1975";{F1A32605-BE63-4EDF-A918-7BD95E2A77B1}
"Hluchtov·";"Pole";"P-365/1990";2007;"28.08.1990";{4827CA09-3296-4AA0-BF06-39C3D76C2DFF}
"Dobrohoöù-KraËany";"Kan·l, n·hon";"P-108/1978";1992;"30.03.1978";{C4449035-2403-4D30-AA0B-BDFFBDE65C2C}
"Trnavka";"Vodn˝ tok";"P-108/1978";2005;"30.03.1978";{C79AE1A3-44C0-4DA1-A9E1-CE6A88CB0217}
"Mal˝ Kopec";"Les";"GK-1049/1994";2010;"18.04.1994";{D0101804-A326-465A-AE89-760324068EE8}
"Poddomok";"Pole";"P-259/1992";2007;"16.06.1992";{9AF90AF5-4ED2-4C2B-9DD4-91881B6D6A48}
"Rudnica";"Vodn˝ tok";"P-164/1976";2007;"23.06.1976";{A2A2F9D7-6C1F-4BF6-B194-DD73D6290DD1}
"Bystrica";"Vodn˝ tok";"P-244/1986";2005;"29.07.1986";{263D02CB-5166-48D8-95DB-A1D78594BEB8}
"Duöa";"Vodn˝ tok";"P-378/1975";2007;"19.11.1975";{44113689-78C5-4B74-9054-11E99C8C19DE}
"ätefanovskÈ vinohrady";"Vinica";"P-108/1978";1989;"30.03.1978";{B69A2516-F8EB-4542-8BD2-251E5A0B08FD}
"Syslanky";"Pole";"P-380/1991";2007;"26.07.1991";{BED106E0-6FB3-4B3B-A82D-CCA3A957B019}
"D˙bravsk˝ potok";"Vodn˝ tok";"P-108/1978";1994;"30.03.1978";{511D2D5C-732D-4D5D-8122-5DB4E58D9954}
"Dobrohoöù-KraËany";"Kan·l, n·hon";"P-108/1978";1992;"30.03.1978";{B93E81BB-6910-4DEF-B83C-35D06BA9C604}
"Karkul·û";"Les";"P-378/1975";1992;"19.11.1975";{A3E75058-BDDC-4B54-B2B2-BCD9F7BE147A}
"Somola";"Sad, z·hrada";"P-801/1993";2008;"21.04.1993";{3D8D789B-3328-5B28-E053-3DC4A8C02D20}
"Ludrovanka";"Vodn˝ tok";"P-164/1976";2005;"23.06.1976";{9CC5D9D4-BDA5-4DB1-A92C-36C4AD55AD5B}
"V˝chodn˝ Lelesk˝ kan·l";"Kan·l, n·hon";"P-425/1990";2005;"31.10.1990";{895B7CCA-B0A1-41FC-A3E7-108EADBEBB2F}
"Gaudova jama";"Les";"GK-1423/1993";2007;"28.07.1993";{070685EF-962D-4EBE-84BF-4A6AC022A655}
"Zverinec";"Les";"GK-1115/1993";2003;"09.06.1993";{72A67F5E-F1FA-4754-BD77-75E0C2E2956E}
"Baby";"Vrch";"P-164/1976";2013;"23.06.1976";{39120BFF-21F2-6241-E053-3DC4A8C0242B}
"Zlatn·-KameniËn·";"Kan·l, n·hon";"P-108/1978";2007;"30.03.1978";{42C4757E-5E27-43BA-8AEE-40E7FDCBCC89}
"V‡öky";"Hor·reÚ";"P-212/1982";2007;"21.10.1982";{C7856596-E503-4787-9AE9-53E2AB6C2587}
"PrednÈ PorËe";"Dolina";"P-378/1975";1990;"19.11.1975";{3E2EFF4C-C2C6-4504-9B69-E6B6E0485E1E}
"Olöava";"Vodn˝ tok";"P-378/1975";1992;"19.11.1975";{A569CC50-36A9-43D7-ACB4-1B2323E1371F}
"Dolina ml·deûe";"Pole";"P-108/1978";1991;"30.03.1978";{5A0FF15F-F882-4F47-9FBB-45C238D02547}
"BerË";"Vrch";"P-378/1975";1990;"19.11.1975";{98DC81BD-9D39-4375-9CB9-0B77FD78ACE2}
"Lekninec";"Vrch";"P-164/1976";1991;"23.06.1976";{D41DD8C6-210F-4772-8839-0276D4D65A63}
"Olöava";"Vodn˝ tok";"P-378/1975";1992;"19.11.1975";{42971C42-A6E2-4C74-A9B2-EE6813D8C392}
"Kamenica";"L˙ka, pasienok";"P-395/1991";2007;"05.08.1991";{BDD979DF-A3F2-4FF0-B2E5-C5E87F479306}
"Jasenovec";"Vodn˝ tok";"P-378/1975";1992;"19.11.1975";{3727641F-73C1-42E3-AA99-7C76F1530E9D}
"Jaseniansky potok";"Vodn˝ tok";"P-164/1976";2002;"23.06.1976";{A31C7EE3-79A0-407C-B177-CFFB40988CA4}
"Uhorötiansky potok";"Vodn˝ tok";"P-164/1976";2007;"23.06.1976";{2C03AC83-33AE-490A-B061-22EE9CEC039B}
"Barborsk·";"Vrch";"P-108/1978";1989;"30.03.1978";{368F8134-014E-40D5-E053-3DC4A8C0EA00}
"Kamenn· studÚa";"Pole";"P-378/1975";1990;"19.11.1975";{EE72A9A7-2FF8-40B9-968F-E8DD49EBBE0E}
"MaËacia jaskyÚa";"JaskyÚa, priepasù";"P-378/1975";1990;"19.11.1975";{0EEBD4C9-77DB-4CFA-98DB-0C344EDEFDD5}
"Suchinec";"Les";"P-378/1975";2007;"19.11.1975";{D1D1EEF1-65CB-41AC-8230-FC9B8FEF225D}
"ZadnÈ PorËe";"Dolina";"P-378/1975";1990;"19.11.1975";{5A6D0EDD-795F-48B2-9C1F-A92ACBA70AF5}
"Komatn·";"Dolina";"P-164/1976";1994;"23.06.1976";{6A408083-30D0-4FF1-A8C0-D7C5E277B102}
"Komatn·";"Dolina";"P-164/1976";1994;"23.06.1976";{0B90DC4A-BDDA-40D5-AA7D-3E51DA4E8DE9}
"Obecn˝ potok";"Vodn˝ tok";"P-108/1978";2007;"30.03.1978";{A24DD7A5-7ECB-429E-9CC0-671C6ADF659B}
"Trnavka";"Vodn˝ tok";"P-378/1975";2005;"19.11.1975";{68283C08-7759-4A13-98B9-2EF3BC800C9D}
"Olöava";"Vodn˝ tok";"P-378/1975";1992;"19.11.1975";{8944E665-EB93-45C9-90D1-34C26A24A710}
"Olöava";"Vodn˝ tok";"P-378/1975";1992;"19.11.1975";{E0710EFE-D669-4AC7-B6EB-D02662168DC3}
"Vybuchanec";"Vodn˝ tok";"P-378/1975";1993;"19.11.1975";{EF30F5B0-6D81-4A9F-B6EB-DC5BDA3C2DDE}
"Radomka";"Vodn˝ tok";"P-378/1975";1976;"19.11.1975";{00C1F73A-5C8C-49FB-AB26-9CB22C60F900}
"Jasenok";"Vodn˝ tok";"P-378/1975";2007;"19.11.1975";{729B41C4-F867-4045-9D3C-B4BF97B61458}
"Suchinec";"Les";"P-378/1975";2007;"19.11.1975";{C35EFD97-68C4-4D01-9582-922334B58D82}
"Dudv·h";"Vodn˝ tok";"P-108/1978";1993;"30.03.1978";{F4EF23A5-7CDE-4D11-B0BF-08EAF84D10CD}
"PodkamennÈ";"L˙ka, pasienok";"P-108/1978";1991;"30.03.1978";{644D13D5-371C-4358-A7CA-6612BC01C7A1}
"DolnÈ KameniËnÈ";"Majer, osada, samota, miestna Ëasù";"P-221/1981";1991;"09.09.1981";{392AE910-735E-4574-8927-CBC5DE18F42E}
"BestinÈ";"Vrch";"P-108/1978";2007;"30.03.1978";{52CF86A5-E02C-4640-951C-4C11B795AB31}
"Uholn˝ kopec";"Vrch";"P-255/1992";2007;"16.06.1992";{D6536E91-682B-4646-9331-25BF6FFA735B}
"ProstrednÈ LanËugy";"Pole";"P-365/1990";2007;"28.08.1990";{90FFCA6D-1E1D-413E-BF95-E5791700030B}
"PoË˙valskÈ jazero";"Jazero, jazer·, pleso, ples·";"P-164/1976";1986;"23.06.1976";{368E5798-A82E-F034-E053-3DC4A8C035BC}
"SihÙtky";"Pole";"P-108/1978";1991;"30.03.1978";{D73F04B8-E877-4E79-AFF2-28A18FC210C0}
"Diely pod PajÌrmi";"Pole";"P-261/1984";2016;"28.09.1984";{3A54D182-13CF-DC7E-E053-3DC4A8C036BE}
"StoËok";"Pole";"P-255/1992";2007;"16.06.1992";{C3DD43F7-3096-442F-A6B4-B2312E876C62}
"ä˙r";"Pole";"P-108/1978";1983;"30.03.1978";{FF367EA3-9919-428B-8715-9F7303D830A3}
"Dvor Mikul·ö";"Majer, osada, samota, miestna Ëasù";"P-221/1981";2010;"09.09.1981";{42FDC879-988D-4591-9D15-BE76DC8E8574}
"Radsk˝ kan·l";"Kan·l, n·hon";"P-378/1975";2007;"19.11.1975";{C85FD841-BB9A-4B48-96DB-B54BAC853348}
"Vrchovina";"Les";"P-244/1986";2007;"29.07.1986";{79A4C5BC-F1BF-4A0B-9F6D-F9E3B8200105}
"Pavl·ökova Skalka";"Vrch";"P-164/1976";1994;"23.06.1976";{61E1B385-A460-4452-A497-DD3CE70FCFA8}
"Od Baratska";"Pole";"P-190/1988";2010;"01.07.1988";{B5F04918-B347-42A2-AEDC-5EA31310755C}
"»ipkovÈ";"Pole";"P-801/1993";2010;"16.11.2010";{0E8E5EA6-E8C8-4D00-A47F-2C0A8A2E7AF9}
"Nosick˝ kan·l";"Kan·l, n·hon";"P-108/1978";1994;"30.03.1978";{1A76F6EC-3663-465D-B2D8-BE2A85FD5B2C}
"Rudnica";"Vodn˝ tok";"P-164/1976";2007;"23.06.1976";{A0B32143-4F34-42E8-B5E8-3AD4B86A4EA7}
"Blava";"Vodn˝ tok";"P-108/1978";2005;"30.03.1978";{FE88E0DE-C611-4D43-A551-AB48F8D3F252}
"Zborovsk˝ hrad";"Zr˙canina";"P-221/1981";1990;"09.09.1981";{7FCEB98D-05D8-4F7A-B740-D620E0526DC1}
"GÈruöova str·Ú";"Les";"P-378/1975";1990;"19.11.1975";{B7FF3119-9DB2-41D6-85BD-7AE99516C232}
"PrednÈ PorËe";"Dolina";"P-378/1975";1990;"19.11.1975";{B83BC908-2E0C-40FF-A1E0-F60B10336CCA}
"Dubie";"Les";"P-378/1975";1992;"19.11.1975";{020E7EB5-5676-427D-ACCB-796E67796F1B}
"Dielce";"Pole";"P-108/1978";1988;"30.03.1978";{ECED1332-D9BD-4C3E-926D-06978AB2A0EE}
"äteinerova kopanica";"Majer, osada, samota, miestna Ëasù";"P-221/1981";1991;"09.09.1981";{BF0BC854-6121-4C30-B02E-CB134220B7D0}
"Pil·rov·";"Dolina";"P-164/1976";1987;"23.06.1976";{3BA4954C-9FBD-45A5-8BCF-3CD271544AF0}
"Gordoöka";"Vrch";"P-305/1992";2007;"05.08.1992";{37061338-A472-7CB7-E053-3DC4A8C05F8C}
"Mal˝ TrÌbeË";"Vrch";"P-108/1978";1988;"30.03.1978";{380C6CB4-13A1-8899-E053-3DC4A8C00FED}
"äkunda";"Majer, osada, samota, miestna Ëasù";"P-221/1981";1991;"09.09.1981";{C242A1A1-072D-490C-A014-ABFEA053C104}
"Makyda";"Majer, osada, samota, miestna Ëasù";"P-221/1981";1991;"09.09.1981";{4782378A-E2F1-4D56-9E8D-90E53C7B15D4}
"ätef·nek";"Majer, osada, samota, miestna Ëasù";"P-221/1981";1991;"09.09.1981";{DF16184B-B7D9-4C32-9842-3C4975744F57}
"Mikuöinec";"Majer, osada, samota, miestna Ëasù";"P-221/1981";1991;"09.09.1981";{94E8B078-8551-47F1-80DC-9130193391CD}
"BirÌn";"Dolina";"P-255/1992";2007;"16.06.1992";{89C275D8-4EA3-4BB1-A027-FB4D535E9556}
"Na sihoti";"Pole";"P-108/1978";1993;"30.03.1978";{5539EE6F-05D9-4358-816B-EC54E9D352AA}
"VendelÌn";"Kaplnka";"P-221/1981";2007;"09.09.1981";{66BACC8B-2714-4468-A441-66D7E5C7EE83}
"Vrch ätvrùky";"Pole";"P-321/1990";2008;"16.07.1990";{54CE71DA-F66E-432D-947D-51F7164C44D8}
"Dudv·h";"Vodn˝ tok";"P-108/1978";2007;"30.03.1978";{7A151FAC-0889-4B19-8AAD-7194CBC24C88}
"OËkovsk˝ potok";"Kan·l, n·hon";"P-108/1978";2010;"30.03.1978";{2211D87D-2FC1-460B-89BE-9ECE84562738}
"»ast·";"Vodn˝ tok";"P-108/1978";2007;"30.03.1978";{B9942587-CD0B-4158-BB71-7B80C5D345D6}
"Olöiansky potok";"Vodn˝ tok";"P-378/1975";2007;"19.11.1975";{0FAF9D61-A395-40B8-BF75-27023415BC69}
"Olöava";"Vodn˝ tok";"P-378/1975";1990;"19.11.1975";{6FBAAB8B-CA40-4190-994D-7AB367BDEF65}
"Olöava";"Vodn˝ tok";"P-378/1975";1992;"19.11.1975";{4696955F-E44E-45FB-99E7-2591D4ED9EB6}
"Obora";"Les";"P-378/1975";1993;"19.11.1975";{72F42D7F-070D-4A75-A360-7487B45A65AE}
"Za drahou";"Pole";"GK-2406/1993";2007;"17.11.1993";{E3A762C8-220C-41BC-B5AC-CA56EDBF72C8}
"Za Olöavou";"Pole";"P-98/1990";2007;"08.02.1990";{3C501626-4F3B-4F8E-8E5E-BEA60DF091E6}
"Zverinec";"Les";"GK-1115/1993";2003;"09.06.1993";{888BA6FE-B0B6-4E74-8503-42B2842917AF}
"SvidniËanka";"Vodn˝ tok";"GK-1115/1993";2013;"09.06.1993";{E1C45601-C0C0-442C-BF2F-32FB76355FD9}
"Dobrohoöù-KraËany";"Kan·l, n·hon";"P-108/1978";1992;"30.03.1978";{DAAF85DB-6CA1-4FC3-8CCD-FA520E34A412}
"Egreösk˝ rybnÌk";"Vodn· n·drû";"P-365/1990";2007;"28.08.1990";{2E4122AD-CAB1-45BF-B3BD-72BE1F09BF68}
"Kovandsk·";"Dolina";"P-378/1975";1992;"19.11.1975";{85108281-ECDF-4AF0-A0DA-807AA9550143}
"Zelen·kov·";"Majer, osada, samota, miestna Ëasù";"P-4/1989";1999;"11.01.1989";{CF14F5CE-748A-4F1E-B80D-5D704DA95361}
"Dudv·h";"Vodn˝ tok";"P-108/1978";2007;"30.03.1978";{83BC481E-CBD5-4C6B-AEAC-8009B4254D10}
"HabrovÌk";"Les";"GK-1031/1993";2008;"01.06.1993";{5B86A608-C29D-4274-89A1-F276A4DA7A64}
"Fuöova dolina";"Dolina";"P-164/1976";1992;"23.06.1976";{A79D6C83-E090-4014-BC8F-B65B8145F8A1}
"Nad OsiËinami";"Pole";"P-321/1990";2013;"16.07.1990";{DE751135-BE80-4097-B784-F45EB51A5AFC}
"Jalovsk· kopa";"Vrch";"P-170/1989";2010;"27.06.1989";{1761AD3C-306A-4D9F-B711-693ACF6DD27E}
"KukuriËnisk·";"Pole";"P-108/1978";1991;"30.03.1978";{13E78A41-E065-4262-A15A-40C92308FAC3}
"Jalovsk˝ potok";"Vodn˝ tok";"P-164/1976";2010;"23.06.1976";{4C18E595-7FB7-486E-BF68-DCE89E9599A3}
"Nosick˝ kan·l";"Kan·l, n·hon";"P-108/1978";1994;"30.03.1978";{338E349A-DF86-4A09-BC5C-FB7A956AC4A8}
"Nosick˝ kan·l";"Kan·l, n·hon";"P-108/1978";1994;"30.03.1978";{7792B1B4-862B-4530-A19F-9AE22CC8F85B}
"Dudv·h";"Vodn˝ tok";"P-108/1978";1993;"30.03.1978";{6521F8E9-816E-4BCC-9EAC-D525E9CD5617}
"DlhÈ diely";"Pole";"P-108/1978";1994;"30.03.1978";{F9DEAB60-C666-49E2-83C0-AE83747B1D8D}
"Danov·";"Les";"GK-1423/1993";2013;"28.07.1993";{EE3C8367-6530-456B-9CC0-775906981C80}
"Pod v‡ökami";"Les";"P-108/1978";1991;"30.03.1978";{0AA3C070-A178-4A2B-BCEE-9DB3C13FFD20}
"PrednÈ Licierovo";"Dolina";"P-378/1975";1988;"19.11.1975";{A9C1BE75-932D-494D-9D48-7CA039D1D7FC}
"Humienec";"Vrch";"P-395/1991";2007;"05.08.1991";{25CD8935-AF60-4A91-B1E2-B39B791EF388}
"Olöava";"Vodn˝ tok";"P-378/1975";1992;"19.11.1975";{5D45B151-C3D6-4265-A375-6292387F3674}
"Letovisko";"Les";"GK-1423/1993";1993;"28.07.1993";{06957132-486C-42FD-B2A8-70ED86C11B41}
"Brezie";"Pole";"P-108/1978";1991;"30.03.1978";{17D89833-1D78-4C8F-BFD0-8E0264A4BBC8}
"Por·Ësky jarok";"Vodn˝ tok";"P-378/1975";1992;"19.11.1975";{7B6C0558-0FDC-47DE-8392-798B6DD4E995}
"Kriûovianka";"Vodn˝ tok";"P-378/1975";1992;"19.11.1975";{42468E96-A54B-45C9-BC7B-8EED79B8EDEE}
"Batinov vrch";"Vrch";"P-164/1976";1994;"23.06.1976";{3DD55FDE-29F5-4B43-B1FD-F9E6EAC20BE5}
"Hr˙ötie";"Majer, osada, samota, miestna Ëasù";"P-221/1981";2007;"09.09.1981";{B7C8D876-BE20-4691-B68F-698311BE24F8}
"Galomia";"Vodn˝ tok";"P-164/1976";1991;"23.06.1976";{71DCDEFF-523F-409E-B6E5-8464BBCA91D5}
"Pleöiansky potok";"Vodn˝ tok";"P-164/1976";2010;"23.06.1976";{CC6A4C6D-A0DC-4744-9A9B-1AF045F083FE}
"V˝chodnianka";"Vodn˝ tok";"P-170/1989";2007;"27.06.1989";{AF2F6C0B-F63F-4700-BB96-5248F1E0062C}
"Prelom";"Vrch";"P-164/1976";1992;"23.06.1976";{FC0DA8CE-2831-4172-B1BE-882B280E133E}
"Nad H·mriskami";"Les";"P-365/1990";2007;"28.08.1990";{DD4E277B-2030-466B-B51E-2CD20B956F72}
"D˙pna jaskyÚa";"JaskyÚa, priepasù";"P-327/1977";2009;"18.11.1977";{43235FD6-121A-678F-E053-3DC4A8C01857}
"Pod koöiarmi";"Les";"P-378/1975";1992;"19.11.1975";{6E34B7C0-A302-43DA-BF93-A530B41E224C}
"Luûn· skala";"HrebeÚ, chrb·t";"P-378/1975";1989;"19.11.1975";{80CB5E47-1E8B-44F5-B266-D2479CB15AE2}
"MedzipanskÈ";"Les";"P-108/1978";1985;"30.03.1978";{BCFE9866-4A71-4483-96F3-ECE26E6DAD96}
"Korl·tsky hrad";"Zr˙canina";"P-221/1981";1990;"09.09.1981";{E602A5CC-6AA8-4F41-AD3B-0CEF989FB001}
"Tehliarov·";"Pole";"P-108/1978";1989;"30.03.1978";{C212F87E-FE76-48D0-B1F8-C143D00171D7}
"Sv‰t˝ Juraj";"Kaplnka";"P-111/1985";2007;"05.05.1985";{BE4E0F90-772C-4B11-9492-A6BA4F980DC1}
"Vrch dolÌn";"Vrch";"P-378/1975";1993;"19.11.1975";{57632050-CF9A-44B8-BCB4-31459FFE837D}
"Olöavka";"Vodn˝ tok";"P-378/1975";1990;"19.11.1975";{C191B59B-7F35-43EC-871A-0CBBE6F80A3A}
"Steûn˝ potok";"Vodn˝ tok";"P-378/1975";1990;"19.11.1975";{F2D30CC5-DD44-437E-8F97-FF21017837DE}
"Za Z·dubovÌm";"Pole";"P-395/1991";2007;"05.08.1991";{114C6B84-3B16-488B-BA11-750E876BA82F}
"Liba";"Les";"P-244/1986";2007;"29.07.1986";{F6853C3B-586E-460F-B88B-5AF9E2CB78A3}
"Nad st·vkami";"Pole";"P-212/1982";2007;"21.10.1982";{40E621E7-FFA2-4F19-8510-6CB6FDD15F78}
"Drahy pri h·ji";"Pole";"P-108/1978";1989;"30.03.1978";{0E3105DA-626E-4530-AB85-993B716A3AE8}
"Fofovsk˝ potok";"Vodn˝ tok";"P-108/1978";2010;"30.03.1978";{D47BBB78-64E1-4331-97F7-BDE4464CB1DE}
"Pole od HlbokÈho";"Pole";"P-108/1978";1989;"30.03.1978";{378A0DC7-CB04-4837-84F2-E8C7C12F3272}
"Olöava";"Vodn˝ tok";"P-378/1975";1992;"19.11.1975";{FFE8F373-980D-4463-A7A5-78AD2677D964}
"Olöava";"Vodn˝ tok";"P-378/1975";1992;"19.11.1975";{CB9196BC-06CB-48E5-818E-E3DF18C70589}
"Por·Ësky jarok";"Vodn˝ tok";"P-378/1975";1992;"19.11.1975";{ADD52E9D-5C7B-4C56-908A-248E11A692EF}
"ViniËnÈ Prielohy";"Vrch";"P-378/1975";1987;"19.11.1975";{FE0C747F-3625-4EF1-99A5-22FC27A19699}
"Olöavka";"Vodn˝ tok";"P-378/1975";1992;"19.11.1975";{EE94A1F5-4758-41D3-9114-F2FB447A526F}
"dolina Keûmarskej Bielej vody";"Dolina";"P-378/1975";2007;"19.11.1975";{603B49FE-4292-43A8-814D-C2C0C9BD86FA}
"Kuröina";"Vrch";"P-378/1975";1976;"19.11.1975";{380C6CB4-11C9-8899-E053-3DC4A8C00FED}
"Vysok·";"Vrch";"P-1623/1990";1991;"25.09.1990";{703FEB4A-D720-4707-90AC-47B25184507A}
"Vybuchanec";"Vodn˝ tok";"P-378/1975";1993;"19.11.1975";{133342A6-B21E-469C-861D-C4A742488F30}
"Klauza";"Majer, osada, samota, miestna Ëasù";"P-221/1981";1992;"09.09.1981";{1037878E-8313-4EA0-BE5B-D3AFE1833763}
"K·lnick˝ potok";"Vodn˝ tok";"P-108/1978";1991;"30.03.1978";{D4E71C43-4515-435D-B984-F470F080D7E5}
"K·lnick˝ potok";"Vodn˝ tok";"P-108/1978";1991;"30.03.1978";{BBA51F79-DF3A-4213-BF9C-C92B51DECE30}
"Osikov potok";"Majer, osada, samota, miestna Ëasù";"P-221/1981";2007;"09.09.1981";{0B939639-E9B5-4E83-BA41-7D02B92D8EA1}
"ätetina";"Majer, osada, samota, miestna Ëasù";"P-221/1981";1991;"09.09.1981";{19501E3D-01D1-44BE-AAD5-62FB23417419}
"Bukoviny";"Les";"P-108/1978";2007;"30.03.1978";{67B22665-5658-4D65-A345-5C704F5AA770}
"Chot·rny potok";"Vodn˝ tok";"P-378/1975";1990;"19.11.1975";{791C132B-9D70-4743-AF8D-A6086289F4B6}
"DlhÈ";"Pole";"P-365/1990";2007;"28.08.1990";{948C51EB-EA8C-4C27-8412-FFBA2E5FD86D}
"Pod kruhom";"Vrch";"P-378/1975";1987;"19.11.1975";{18FF91EB-7821-4589-810A-BF4AC8597A30}
"Stemnice";"L˙ka, pasienok";"GK-2505/1994";2007;"07.09.1994";{639CAF82-808C-4BD5-B2B9-3FE522F4D492}
"Div˝ potok";"Kan·l, n·hon";"P-470/1991";2013;"30.09.1991";{4D237399-486D-4C06-8C53-7BF0D7593D45}
"Pod skalou";"Les";"P-378/1975";1992;"19.11.1975";{7E09F296-DA7D-4CF4-A2D9-2B07D410D7B2}
"Kamenec";"Vodn˝ tok";"P-425/1990";1992;"31.10.1990";{D891413E-8497-47D8-99DB-4BA778789BA6}
"Dudv·h";"Vodn˝ tok";"P-108/1978";1993;"30.03.1978";{B5E2199E-0F05-4547-B07D-0B2C2AD27A64}
"AlejovÈ hony";"Pole";"P-108/1978";1994;"30.03.1978";{8EA6D6D5-5742-4EC4-B4D7-6E113E3A8E91}
"Blahutov kan·l";"Kan·l, n·hon";"P-108/1978";2013;"30.03.1978";{7BC08B63-D925-4BF2-BB15-F5519EA4CBE6}
"Kuröina";"Vodn˝ tok";"P-378/1975";1993;"19.11.1975";{B982D13D-7E22-4292-ABD8-0743FB6365F8}
"ZakostolskÈ l˙ky";"Pole";"GK-2073/1994";2007;"20.07.1994";{9FCA4113-BBAE-4181-BAA2-7542D6A5A8B8}
"T˙rnisko";"Les";"P-378/1975";1992;"19.11.1975";{90C8B8D3-F985-47AC-87D0-4612C6D88B6D}
"Jur·kovce";"Majer, osada, samota, miestna Ëasù";"P-221/1981";1991;"09.09.1981";{EE721476-F110-4394-A1BE-44D53217B031}
"Blatnica";"Pole";"P-108/1978";1991;"30.03.1978";{A2B3B3A8-ADE7-46AA-A5FB-7429433015D7}
