"GEONAME_H";"CAT";"C_ROZH";"ROK_ST";"D_ROZH";"GN_ID"
"Diely nad LÌpÌm";"Pole";"P-4/1989";2007;"11.01.1989";{26AED877-0E91-47A0-863E-720FB7B5DD7D}
"V˝chodn˝ Lelesk˝ kan·l";"Kan·l, n·hon";"P-425/1990";2005;"31.10.1990";{63315D84-6760-445D-890F-BDD3A06E403D}
"Vlaösk˝ potok";"Vodn˝ tok";"P-365/1990";2007;"28.08.1990";{617D77EC-7A06-428C-ACC8-89179954EE02}
"Novomlynsk˝ potok";"Kan·l, n·hon";"P-108/1978";2005;"30.03.1978";{7990D1B4-2FAB-4F3A-8D39-7F8F6961DAE0}
"MilhostskÈ chrastie";"Pole";"P-98/1990";2002;"08.02.1990";{FEF465BA-34F0-4C0D-961D-58FC11A00488}
"Hr·dok";"Pole";"P-108/1978";1991;"30.03.1978";{B68EAC20-DC69-453B-BECF-79D90B1E8886}
"Hornovci";"Majer, osada, samota, miestna Ëasù";"P-221/1981";1989;"09.09.1981";{637441C6-BA70-470F-AA0C-B65D1BD7A061}
"Pod sl·deËkovskou cestou";"Pole";"P-190/1988";2007;"01.07.1988";{D34EBB96-A15E-4C48-AEFF-C92257F0E7D6}
"Star· »ast·";"Kan·l, n·hon";"P-108/1978";1991;"30.03.1978";{16F5DA46-A76C-40F7-89D6-647E9F3ADA54}
"PrednÈ ätefanovo";"Vrch";"P-164/1976";1987;"23.06.1976";{2B4F2294-B7B3-4F10-AD45-162DC4F753B9}
"Mal· jaskynn· priepasù";"JaskyÚa, priepasù";"P-378/1975";1979;"19.11.1975";{CDA9C062-67E7-406D-AF21-8DCEAB375F88}
"Hraökova priepasù";"JaskyÚa, priepasù";"P-378/1975";1990;"19.11.1975";{3B394B76-0669-4E81-A1C4-056120A81E4A}
"Rozgl·by";"Dolina";"P-212/1982";2007;"21.10.1982";{9C0E757F-A562-45E4-BE2A-A77CB9861E7F}
"Gejza";"BaÚa, öachta, ötÙlÚa";"P-365/1990";2013;"28.08.1990";{B3D100FD-512E-4A71-8D68-F2501EECA741}
"Dobrohoöù-KraËany";"Kan·l, n·hon";"P-108/1978";1992;"30.03.1978";{D8F885DE-72B2-4B9E-A420-11EEE3A69243}
"Blava";"Vodn˝ tok";"P-108/1978";2005;"30.03.1978";{95BB42F0-E9C6-472D-B621-9492974443E9}
"Teplice";"Pole";"P-378/1975";1990;"19.11.1975";{905D540D-C965-463D-BBBA-62B58F94F18A}
"Trsten·-Baka";"Kan·l, n·hon";"P-108/1978";2003;"30.03.1978";{48D1E6EC-EA57-4878-B2CF-177DB71CD4C1}
"OhradenÈ";"Pole";"P-108/1978";1989;"30.03.1978";{96E20BBD-6B51-4750-8540-59DC30E7020A}
"Markuöin·";"Vrch";"P-378/1975";1987;"19.11.1975";{9E163961-727A-4228-9C6B-8DE59FD66259}
"Hutsk˝ potok";"Vodn˝ tok";"P-378/1975";2007;"19.11.1975";{24435467-626A-48F5-8480-40A8C27EB02B}
"Olöava";"Vodn˝ tok";"P-378/1975";1990;"19.11.1975";{403AE1B6-4F8D-40A0-ADD9-A2F3DE1D0331}
"DrieÚok";"Vrch";"P-471/1991";2007;"30.09.1991";{04171981-27FD-4A52-B6EF-0E9BEDA31E29}
"Dechtarina";"Les";"P-395/1991";2007;"05.08.1991";{F22F0559-8542-471C-8A4A-C32F10FF0855}
"Jurov·-»alovo";"Kan·l, n·hon";"P-108/1978";1992;"30.03.1978";{A5C70652-27C6-4D26-9756-6C9CB99C2A5A}
"Dona";"Vodn˝ tok";"P-108/1978";2010;"30.03.1978";{AF5AA303-0121-404B-ABEF-883B98FCA6E8}
"Trnavka";"Vodn˝ tok";"P-108/1978";2005;"30.03.1978";{01437DA6-C8DC-4A40-BACD-5AD7E93387EC}
"Rakovinsk˝ jarok";"Vodn˝ tok";"P-111/1985";2007;"05.05.1985";{6EF986AD-94E2-4472-B746-395EA320E3A5}
"ZlatnÌcka skalka";"Vrch";"P-190/1988";2007;"01.07.1988";{1B6A7AD6-0B22-468A-A5FC-B89B368142FE}
"Pod v˝honom";"Pole";"P-321/1990";2007;"16.07.1990";{965E6FBE-B66F-4B32-A493-F0418E04971D}
"Pod brehom";"Majer, osada, samota, miestna Ëasù";"P-221/1981";2007;"09.09.1981";{BF144C6B-A740-40D9-BBE5-DDD5A5D683DD}
"Chot·rny potok";"Kan·l, n·hon";"P-378/1975";1990;"19.11.1975";{39B2B687-09FC-4E1D-9749-41A186DCCC3A}
"»erven· hora";"Vrch";"P-261/1984";1987;"28.09.1984";{58CDF7DC-1CAA-40BE-BAE5-3E5BDA1AAA60}
"Niûn· roveÚ";"Pole";"P-196/1988";2007;"11.07.1988";{46AB73E6-9256-4FD0-B7BF-E64F92C5F9DD}
"vrch Anny";"Vrch";"P-378/1975";2007;"19.11.1975";{89DDCB2B-27AB-4042-A83F-8F3BF51ECEA5}
"SolËiansky potok";"Vodn˝ tok";"P-190/1988";2009;"01.07.1988";{0315D0A4-F6C2-4EE8-857D-E63B47E49122}
"Lorenc";"Vodn˝ tok";"P-196/1988";2007;"11.07.1988";{12F1D685-2003-4A73-8E22-D4842F9DA88A}
"KÚaûn˝ vrch";"Vrch";"P-108/1978";1991;"30.03.1978";{890D1576-C40B-406D-91F5-A2B4A1A8E651}
"HoroöovÌk";"Vrch";"P-378/1975";1992;"19.11.1975";{371A3A6B-7BF6-A998-E053-3DC4A8C0B402}
"Dudv·h";"Vodn˝ tok";"P-108/1978";2007;"30.03.1978";{EEAE8A46-D749-4403-BF2D-0AE86BB79466}
"PoæaÚ";"Vrch";"P-378/1975";1992;"19.11.1975";{7E254FEF-F037-46F0-B394-349CD4DB5C56}
"Novomlynsk˝ potok";"Kan·l, n·hon";"P-108/1978";2005;"30.03.1978";{C31CD8E8-8F73-429A-8E71-B2D3850A187E}
"Kruhy";"Vrch";"P-108/1978";1988;"30.03.1978";{5B607166-7C12-4E56-B7D7-99670684BBB1}
"Sliv·Ësky potok";"Vodn˝ tok";"P-108/1978";1988;"30.03.1978";{E803A4AD-D189-4F8C-95C2-618FF93DDE3C}
"Od Ëiernej vody";"Pole";"GK-1115/1993";2007;"27.07.1993";{40862BA6-00ED-47C4-A700-520E618659FE}
"DrieÚok";"Vodn˝ tok";"P-164/1976";2007;"23.06.1976";{E27C4142-66DF-4BD3-83CA-0F24A4E1B660}
