"IDN5";"NM5";"IDN4";"NM4";"IDN3";"NM3";"IDN2";"NM2";"POINT_X";"POINT_Y"
817520;"Potônske Lúky";582522;"Potônske Lúky";201;"Dunajská Streda";2;"Trnavskı";-539045.87;-1290621.59
817571;"Horná Seè";502260;"Horná Seè";402;"Levice";4;"Nitriansky";-466433.84;-1283880.12
817589;"Horná Streda";506001;"Horná Streda";304;"Nové Mesto nad Váhom";3;"Trenèiansky";-513661.82;-1229394.83
817597;"Horná Strehová";516015;"Horná Strehová";610;"Ve¾kı Krtíš";6;"Banskobystrickı";-399890.17;-1280353.83
817627;"Horná Súèa";506010;"Horná Súèa";309;"Trenèín";3;"Trenèiansky";-502351.61;-1193481.86
817708;"Horná Štubòa";512273;"Horná Štubòa";509;"Turèianske Teplice";5;"ilinskı";-434618.66;-1218740.1
817783;"Horná Tiina";518042;"Terchová";511;"ilina";5;"ilinskı";-422036.28;-1166338.29
817791;"Horná Trnávka";517186;"Prestavlky";613;"iar nad Hronom";6;"Banskobystrickı";-447614.87;-1243592.03
817805;"Horná Ves";514004;"Horná Ves";307;"Prievidza";3;"Trenèiansky";-463887.01;-1241714.79
817830;"Horná Ves";581747;"Horná Ves";613;"iar nad Hronom";6;"Banskobystrickı";-435892.55;-1233867.44
817848;"Horná daòa";516791;"Horná daòa";613;"iar nad Hronom";6;"Banskobystrickı";-449942.16;-1244339.01
817856;"Horòany";506028;"Horòany";309;"Trenèín";3;"Trenèiansky";-486527.13;-1217669.9
817864;"Horné Drkovce";545651;"Ve¾ké Drkovce";301;"Bánovce nad Bebravou";3;"Trenèiansky";-489983.32;-1222931.91
817872;"Horné Dubové";507059;"Horné Dubové";207;"Trnava";2;"Trnavskı";-536237.26;-1242771.3
817881;"Horné Hámre";516805;"Horné Hámre";612;"arnovica";6;"Banskobystrickı";-456228.8;-1252388.83
817970;"Horné Chlebany";556351;"Horné Chlebany";406;"Topo¾èany";4;"Nitriansky";-486868.11;-1237293.82
817988;"Turèianske Jaseno";545961;"Turèianske Jaseno";506;"Martin";5;"ilinskı";-422725.09;-1197301.06
817996;"Horné Lefantovce";545635;"Horné Lefantovce";403;"Nitra";4;"Nitriansky";-493432.39;-1257073.37
818011;"Horné Mladonice";518433;"Horné Mladonice";605;"Krupina";6;"Banskobystrickı";-419637.24;-1270926.3
818046;"Horné Naštice";542920;"Horné Naštice";301;"Bánovce nad Bebravou";3;"Trenèiansky";-479881.9;-1222679.95
818089;"Horné Obdokovce";542938;"Horné Obdokovce";406;"Topo¾èany";4;"Nitriansky";-499765.94;-1248315.19
818097;"Horné Orešany";507067;"Horné Orešany";207;"Trnava";2;"Trnavskı";-546203.77;-1247593.15
818127;"Horné Otrokovce";507075;"Horné Otrokovce";203;"Hlohovec";2;"Trnavskı";-513054.72;-1247994.37
818135;"Horné Ozorovce";542652;"Bánovce nad Bebravou";301;"Bánovce nad Bebravou";3;"Trenèiansky";-485270.78;-1222413.11
818143;"Horné Plachtince";516023;"Horné Plachtince";610;"Ve¾kı Krtíš";6;"Banskobystrickı";-413482.23;-1282915.38
818160;"Horné Pršany";508641;"Horné Pršany";601;"Banská Bystrica";6;"Banskobystrickı";-423566.54;-1232116.2
818178;"Horné Saliby";503771;"Horné Saliby";202;"Galanta";2;"Trnavskı";-526703.35;-1288783.67
818194;"Horné Semerovce";502278;"Horné Semerovce";402;"Levice";4;"Nitriansky";-443938.09;-1293980.61
818216;"Horné Srnie";506036;"Horné Srnie";309;"Trenèín";3;"Trenèiansky";-494306.45;-1190968.88
818232;"Horné Strháre";516031;"Horné Strháre";610;"Ve¾kı Krtíš";6;"Banskobystrickı";-406575.47;-1281213.44
818241;"Horné Štitáre";542954;"Horné Štitáre";406;"Topo¾èany";4;"Nitriansky";-499585.26;-1245395.62
818259;"Horné Trhovište";556602;"Horné Trhovište";203;"Hlohovec";2;"Trnavskı";-513487.46;-1251193.32
